nombre,lenguaje,estrellas,forks,watchers,fecha_creacion,fecha_actualizacion
Apollo-11,Assembly,64639,7375,64639,2014-04-03T15:45:02Z,2026-03-06T20:47:48Z
localstack,Python,64568,4590,64568,2016-10-25T23:48:03Z,2026-03-06T20:40:40Z
AFFiNE,TypeScript,64235,4492,64235,2022-07-31T18:45:21Z,2026-03-06T22:52:20Z
docusaurus,TypeScript,64015,9752,64015,2017-06-20T16:13:53Z,2026-03-06T22:24:09Z
keras,Python,63911,19714,63911,2015-03-28T00:35:42Z,2026-03-06T22:37:05Z
codex,Rust,63537,8437,63537,2025-04-13T05:37:54Z,2026-03-06T22:43:45Z
prometheus,Go,63076,10215,63076,2012-11-24T11:14:12Z,2026-03-06T22:05:12Z
everything-claude-code,JavaScript,62944,7786,62944,2026-01-18T00:51:51Z,2026-03-06T22:49:59Z
socket.io,TypeScript,62930,10140,62930,2010-03-11T18:24:48Z,2026-03-06T20:24:33Z
alacritty,Rust,62821,3324,62821,2016-02-18T05:02:30Z,2026-03-06T21:01:57Z
resume.github.com,JavaScript,62811,1365,62811,2011-02-06T13:39:55Z,2026-03-06T20:58:47Z
OpenBB,Python,62638,6128,62638,2020-12-20T10:46:38Z,2026-03-06T22:13:08Z
open-interpreter,Python,62563,5385,62563,2023-07-14T07:10:44Z,2026-03-06T20:57:32Z
daytona,TypeScript,62452,5068,62452,2024-02-06T08:21:20Z,2026-03-06T22:41:09Z
nocodb,TypeScript,62363,4653,62363,2017-10-29T18:51:48Z,2026-03-06T20:22:48Z
rustlings,Rust,62068,11167,62068,2015-09-15T02:25:18Z,2026-03-06T22:39:13Z
traefik,Go,62061,5860,62061,2015-09-13T19:04:02Z,2026-03-06T22:24:30Z
uBlock,JavaScript,61930,3967,61930,2015-04-01T17:51:11Z,2026-03-06T22:35:56Z
sway,Rust,61912,5429,61912,2021-01-19T20:54:33Z,2026-03-06T21:37:58Z
nerd-fonts,CSS,61893,3869,61893,2014-12-05T04:31:17Z,2026-03-06T22:13:00Z
lodash,JavaScript,61581,7124,61581,2012-04-07T04:11:46Z,2026-03-06T22:20:03Z
tldr,Markdown,61559,5102,61559,2013-12-08T07:34:43Z,2026-03-06T22:17:12Z
crawl4ai,Python,61461,6274,61461,2024-05-09T09:48:50Z,2026-03-06T22:30:17Z
redux,TypeScript,61438,15130,61438,2015-05-29T23:53:15Z,2026-03-06T21:32:32Z
ladybird,C++,61070,2842,61070,2024-05-30T09:18:10Z,2026-03-06T22:41:39Z
atom,JavaScript,60989,17277,60989,2012-01-20T18:18:21Z,2026-03-06T20:13:17Z
architect-awesome,Desconocido,60843,17801,60843,2018-04-06T13:30:58Z,2026-03-06T09:23:01Z
Front-end-Developer-Interview-Questions,Nunjucks,60797,11073,60797,2012-02-09T23:34:10Z,2026-03-06T21:07:47Z
scrapy,Python,60616,11341,60616,2010-02-22T02:01:14Z,2026-03-06T21:42:45Z
ripgrep,Rust,60606,2402,60606,2016-03-11T02:02:33Z,2026-03-06T22:40:46Z
leetcode-master,Shell,60595,12342,60595,2019-12-14T12:05:42Z,2026-03-06T16:48:26Z
minio,Go,60438,7188,60438,2015-01-14T19:23:58Z,2026-03-06T20:37:31Z
openpilot,Python,60237,10674,60237,2016-11-24T01:33:30Z,2026-03-06T21:27:28Z
markdown-here,JavaScript,60164,11122,60164,2012-05-13T03:27:22Z,2026-03-06T20:20:10Z
jquery,JavaScript,59853,20472,59853,2009-04-03T15:20:14Z,2026-03-06T15:04:44Z
nuxt,TypeScript,59799,5550,59799,2016-10-26T11:18:47Z,2026-03-06T22:00:56Z
spring-framework,Java,59710,38913,59710,2010-12-08T04:04:45Z,2026-03-06T16:51:44Z
drawio-desktop,JavaScript,59689,5597,59689,2017-05-25T20:58:42Z,2026-03-06T21:30:55Z
git,C,59514,27615,59514,2008-07-23T14:21:26Z,2026-03-06T21:26:38Z
Real-Time-Voice-Cloning,Python,59505,9421,59505,2019-05-26T08:56:15Z,2026-03-06T19:02:19Z
pathway,Python,59493,1611,59493,2022-11-27T13:01:14Z,2026-03-06T20:49:29Z
shadowsocks-windows,C#,59269,16305,59269,2013-01-14T07:54:16Z,2026-03-06T19:47:11Z
llama,Python,59197,9819,59197,2023-02-14T09:29:12Z,2026-03-06T20:09:52Z
awesome-flutter,Dart,59187,6862,59187,2017-05-07T11:45:27Z,2026-03-06T22:50:43Z
Magisk,Rust,59093,16900,59093,2016-09-08T12:42:53Z,2026-03-06T22:47:44Z
